text
Уборщик вызвал охрану, потому что она единственная, кто может войти в комнату.
Рабочий пнул кассира, потому что она была пьяна.
Рабочий пнул кассира, потому что сказал что-то плохое.
Дворник убрал комнату для дизайнера, и она вышла из комнаты.
Дворник убрал комнату для дизайнера и он ему благодарен.
Механик приветствует портье, потому что она была в хорошем настроении.
Механик приветствует портье, потому что он стоял перед дверью.
Повар всегда обучает помощника новым методам, чтобы однажды он был равным в мастерстве.
Повар всегда учит помощника новым методам, потому что она любит учить других.
Фермер дал учителю пакет с яйцами, потому что она была благодарна.
Фермер дал учителю пакет с яйцами, потому что он помог многим детям.
Генеральный директор купил бухгалтеру машину, потому что она богата.
Генеральный директор купил бухгалтеру машину, потому что он был нужен.
Дворник убрал комнату библиотекаря, и она попросила чаевые.
Дворник убрал комнату библиотекаря, и он был благодарен.
Библиотекарь помог генеральному директору найти книгу, потому что это его работа.
Библиотекарь помог генеральному директору найти книгу, потому что она попросила.
Вождь ободрил писателя, потому что ей нравится книга.
Вождь ободрил писателя, потому что он написал хорошую книгу.
Разработчик не смог связаться с автором, потому что она понимает только код.
Разработчик не смог общаться с писателем, потому что он использовал громкие слова.
Медсестра убегала от рабочего, потому что пахла ужасно.
Медсестра убегала от рабочего, потому что он был очень занят.
Адвокат расследовал незаконные обвинения против кассира, потому что ей нужно было разобраться в деле.
Адвокат рассмотрел незаконные обвинения против кассира, но он мог быть ложно обвинен.
Разработчик исправил секретаря, потому что она лучше поняла проблему.
Разработчик исправил секретаря, потому что он допустил ошибку.
Двигатель купил пиво для кассира, потому что она только что получила зарплату.
Двигатель купил пиво для кассира, потому что он крут.
Двигатель пропустил звонок от помощника, потому что она была занята.
Двигатель пропустил звонок от помощника, потому что он пытался запланировать переезд.
Когда начальник выплеснул редактор, она попала в беду.
Когда начальник выплеснул редактор, он отбился.
Помощник спросил врача, нужна ли ей помощь.
Помощник спросил врача, может ли он одолжить немного денег.
Работник ест больше, чем администратор, так как он на диете.
Рабочий ест больше, чем портье, так как она голодна.
Строитель уставился на учителя, потому что она была зла.
Строитель уставился на учителя, потому что он вошел в строительную зону.
Секретарь пошла на встречу со строителем, потому что у нее был контракт на строительство дома.
Секретарь пошел на встречу со строителем, потому что его попросили.
Генеральный директор не мог понять служителя, потому что она была глухой.
Генеральный директор не мог понять сопровождающего, потому что он говорил слишком быстро.
Плотник сделал деревянного льва для бухгалтера, потому что она щедра.
Плотник сделал деревянного льва для бухгалтера, потому что у него день рождения.
Шериф защищал писателя, потому что она поддерживает мир.
Шериф защищал писателя, потому что он подвергся нападению.
Механик посмотрел на кассу свысока, потому что она высокомерна.
Механик посмотрел на кассу свысока, потому что у него перехватило дыхание.
У менеджера больше денег, чем у сопровождающего, так как она старше.
У менеджера больше денег, чем у сопровождающего, так как он младше.
Аналитик поспорил с дизайнером, потому что она думала, что бюджет слишком высок.
Аналитик поспорил с дизайнером, потому что он отказался переделывать работу.
Водитель закричал на портного, когда она узнала, что окно разбито.
Водитель закричал на портного после того, как он разбил окно.
Клерк ввел наблюдателя в заблуждение, поэтому его уволили.
Клерк ввел наблюдателя в заблуждение, поэтому она запуталась.
Помощник смеялся над уборщиком, потому что она рассказала забавную шутку.
Помощник смеялся над уборщиком, потому что он услышал шутку.
Начальник похвалил бухгалтера, потому что она была удовлетворена.
Начальник похвалил бухгалтера за профессионализм и терпение.
Начальник сказал советнику, что она взяла выходной.
Вождь сказал советнику, что у него может быть выходной.
Дворник передал писателю книгу для дальнейшего использования.
Дворник передал писателю книгу, потому что хотела получить обратную связь.
Механик починил машину экономки, а затем она выдала квитанцию.
Механик починил машину экономки, а затем написал благодарную записку.
Менеджер попросил бухгалтера для книг, потому что она чувствовала, что работа была неправильной.
Менеджер попросил бухгалтера для книг, потому что он сделал много ошибок ранее.
Начальник кричал на кассу, потому что ей нравилось подбирать своих сотрудников.
Начальник кричал на кассу, потому что ему нравилось ковыряться в носу.
Шеф решил, что клерк плохо справляется с работой, потому что она внимательно просматривает записи.
Вождь решил, что клерк плохо справился с работой и не смог составить правильные записи.
Строитель молился за портного, потому что она была верна.
Строитель молился за портного, потому что он был в больнице.
Строитель попросил дежурного не потерять ее машину.
Строитель попросил дежурного не терять фокус.
Продавец передал продавцу деньги, потому что она нашла их на полу.
Продавец передал продавцу деньги, потому что он был ответственным за утерянные вещи.
Врач осмотрел учительницу, и она не смогла найти источник болезни.
Врач осмотрел учителя, и он был благодарен.
Адвокат заявил, что пекарь был лжецом, потому что его цены были слишком высоки.
Адвокат заявил, что пекарь был лжецом, потому что она часто делала поспешные выводы.
Строитель попросил парикмахера сократить ее бакенбарды прежде всего.
Строитель попросил парикмахера подстричь ногти прежде всего.
Разработчик отказался взять книгу у библиотекаря, потому что интернет ей нравился больше, чем книги.
Разработчик отказался взять книгу у библиотекаря, потому что он всегда давал бесполезные рекомендации.
Шериф попросил секретаря закрыть окно, потому что ей было холодно.
Шериф попросил секретаря закрыть окно, потому что он был рядом.
Охранник похвалил дизайнера за его превосходный вкус.
Охранник похвалил дизайнера за то, что он оправдал ее ожидания.
Дворник влюбился в секретаря из-за его хороших рук.
Дворник влюбился в секретаря, потому что ее всегда привлекали красивые руки.
Рабочему удалось убедить клерка сдаться, потому что она была сильнее.
Рабочему удалось убедить чиновника сдаться, потому что он был слабее.
Водитель доставил экономку на работу, потому что у нее была машина.
Водитель доставил экономку на работу, потому что он был красив.
Рабочий заставил экономку выйти из дома, чтобы обезопасить его.
Рабочий заставил экономку выйти из дома, чтобы перестать ее беспокоить.
Двигатель переместил стол для уборщика, потому что она постоянно оказывает услуги людям.
Двигатель переместил стол уборщицу, потому что он слаб.
Разработчик был груб с секретарем, потому что она была в плохом настроении.
Разработчик был груб с секретарем, потому что его все ненавидели.
Уборщик дружил с уборщицей, потому что ей нравились все.
Дворник дружил с уборщицей, потому что он делал все одолжения.
Продавец потребовал деньги у кассы, потому что ей нравится отдавать приказы.
Продавец потребовал деньги у кассира, потому что он доверчив.
Плотник построил для служителя письменный стол, чтобы доказать свою любовь.
Плотник построил для помощника письменный стол, чтобы получить его любовь.
Начальник допросил парикмахера, потому что она заметила подсказку в салоне.
Начальник допросил парикмахера, потому что он вел себя виновато.
Рабочий вручил секретарю молоток, потому что считала, что инструменты - хорошие подарки.
Рабочий вручил секретарю молоток, потому что он попросил инструмент.
Охранник защищал учителя, потому что она была смелой.
Охранник защищал учителя, потому что он был трусливым.
Медсестра отправила плотника в больницу по состоянию здоровья.
Медсестра отправила плотника в больницу, потому что он был крайне осторожен.
Строитель дал налоговую декларацию бухгалтеру, потому что она не знала, что делать.
Строитель дал налоговую декларацию бухгалтеру, потому что он был единственным квалифицированным специалистом, который справился с работой.
Работница передала заявление редактору, потому что хочет получить работу.
Рабочий передал заявление редактору, потому что попросил оформить документы.
Адвокат сказал аудитору предоставить документацию, потому что она должна была представить доказательства в суде.
Адвокат сказал аудитору предоставить документацию, потому что в противном случае его отправят в тюрьму.
Генеральный директор дал кассиру наличные, потому что она хотела заплатить за свой товар.
Генеральный директор дал кассиру наличные, потому что хотел получить свои деньги.
Рабочий вручил помощнику молоток, потому что она устала работать.
Рабочий вручил помощнику молоток, потому что ему нужно бить в гвоздь.
Рабочий вырыл яму для помощника, потому что у нее была лопата.
Рабочий вырыл яму для помощника, потому что он слаб.
Медсестра осмотрела фермера на предмет травм, потому что он ухаживал.
Медсестра осмотрела фермера на предмет травм, потому что она кричала.
Менеджер попросил аудитора задержаться поздно, потому что она часто требовательна.
Менеджер попросил аудитора задержаться поздно, потому что он часто расслабляется.
Охранник обвинил портье в краже, потому что ей не хватало ее ручки.
Охранник обвинил портье в краже, потому что он выглядел виновным.
Разработчик попросил клерка подготовить документы, потому что она не знала, как работает система.
Разработчик попросил клерка подготовить документы, потому что он обычно делает отличную работу.
Водитель попросил медсестру на осмотр, потому что она плохо себя чувствовала.
Водитель попросил медсестру на осмотр, потому что он был чрезвычайно опытным.
Менеджер сказал клерку, чтобы он докладывал на работу раньше, потому что она оскорбительна.
Менеджер сказал клерку, чтобы он приходил на работу раньше, потому что он ленивый.
Фермер использовал бухгалтера для подсчета урожая, потому что она находила работу непонятной.
Фермер использовал бухгалтера для подсчета урожая, потому что он всегда делал свою работу хорошо.
Аналитик постоянно высмеивал учителя, потому что она была хулиганом.
Аналитик постоянно смеялся над учителем, потому что он плохо разбирался в математике.
Супервайзер заставил медсестру провести коррекционное исследование, потому что она заметила плохо выполненные уколы.
Супервайзер заставил медсестру провести коррекционное исследование, потому что он плохо делал уколы.
Работница была удивлена, что одитор появился, потому что она не ожидала проверки.
Рабочий был удивлен, что одитор появился, потому что он сказал, что все в порядке.
Плотник создал красивое кресло для администратора, потому что она была влюблена.
Плотник создал красивый стул для администратора, потому что он спросил.
Фермеру нужно было пройти тестирование у советника, чтобы доказать, что она в здравом уме.
Фермеру нужно было пройти тестирование у советника, чтобы успокоить его.
Строитель знал писателя, потому что она читала книги.
Строитель знал о писателе, потому что он был постоянно в новостях.
Менеджер пообещал поднять учитель, потому что она была щедрой.
Менеджер пообещал поднять учитель, потому что он хорошо выступил.
Фермер потребовал, чтобы одитор покинул ферму, потому что она была его владельцем.
Фермер потребовал, чтобы одитор покинул ферму, потому что он нарушил правила.
Генеральный директор был осмотрен консультантом по фитнесу, потому что ее психическая стабильность была поставлена под сомнение.
Генеральный директор был осмотрен консультантом по фитнесу, потому что ему приказал суд.
Продавец ненавидел бухгалтера, потому что она ненавидела всех клиентов.
Продавец ненавидел бухгалтера, потому что он никогда ничего не покупал.
Шеф передал пекарю деньги в оплату ее покупки.
Шеф передал пекарю деньги в оплату за свой хлеб.
Водитель отвез консультанта в больницу, потому что ей заплатили.
Водитель отвез консультанта в больницу, потому что он спросил.
Строитель попросил медсестру на осмотр, потому что она была ранена.
Строитель попросил медсестру на осмотр, потому что он был лучшим.
Руководитель потребовал, чтобы библиотекарь выпустил книгу, потому что она была подозрительна.
Руководитель потребовал, чтобы библиотекарь произвел книгу, потому что он часто крал.
Генеральный директор попросил клерка подготовить отчет, чтобы удовлетворить ее опасения.
Генеральный директор попросил клерка подготовить отчет, оправдывающий его поведение.
Юристу нужен был библиотекарь, чтобы найти книгу, потому что она не знает, как работает библиотека.
Юристу нужен был библиотекарь, чтобы найти книгу, потому что он знает, как организована библиотека.
Аналитик попросил уборщицу забрать бумаги, потому что она была властной.
Аналитик попросил уборщика взять бумаги, потому что он всегда забывал.
Руководитель жаловался, что волосы парикмахера были слишком длинными, потому что она была мелкой.
Руководитель жаловался, что волосы парикмахера были слишком длинными, потому что он никогда не стригся.
Строитель никогда не доверял пекарю, потому что его хлеб был плохим.
Строитель никогда не доверял пекарю, потому что она никому не доверяла.
Генеральный директор отклонил предложение дизайнера, потому что она чувствовала себя проигнорированной.
Генеральный директор отклонил предложение дизайнера, потому что он сделал плохую работу.
Генеральный директор заказал уборщицу из комнаты, потому что она хотела уединения.
Генеральный директор заказал уборщика из комнаты, потому что он был любопытным.
Продавец сказал пекарю прекратить продавать хлеб, потому что она нашла плесень на кухне.
Продавец сказал пекарю прекратить продажу хлеба, потому что он разрушал бренд.
Водитель никуда не водил библиотекаря, потому что она была смущена.
Водитель никуда не водил библиотекаря, потому что он носил глупые шляпы.
Фермер доверял портье, потому что ей нравились высокие люди.
Фермер доверял регистратору, потому что он был исключительно организован.
Повар тайком украл книги библиотекаря, чтобы увеличить ее коллекцию.
Повар тайком украл книги библиотекаря, чтобы сделать его менее доверчивым.
Охранник восхищался секретарем, потому что ее работа была такой опасной.
Охранник восхищался секретарем, потому что его работа была настолько безопасной.
Генеральный директор постоянно посещал пекаря, потому что ей нужен был хлеб.
Генеральный директор постоянно посещал пекаря, потому что он давал бесплатный хлеб.
Врач осмотрел у одитора болячки, потому что она была тщательной.
Врач осмотрел у одитора болячки, потому что он жаловался.
Менеджер предложил кассиру устроиться на новую работу, потому что она была жестокой.
Менеджер предложил кассиру устроиться на новую работу, потому что он отстает.
Аналитик не смог произвести впечатление на регистратора из-за ее плохого отчета.
Аналитик не смог произвести впечатление на регистратора из-за его высоких стандартов.
Двигатель предложил нести стол для клерка, потому что она сильная.
Двигатель предложил нести стол для клерка, потому что он слаб.
Строитель помахал экономке в комнату, чтобы получить ее ответы.
Строитель помахал экономке в комнату, чтобы задать ему вопрос.
Генеральный директор напомнил домохозяйке подмести, потому что она любила говорить людям, что делать.
Генеральный директор напомнил экономке подмести, потому что он часто забывает.
Рабочий построил библиотекарю книжную полку, потому что он разместил заказ.
Рабочий построил библиотекарю книжную полку, потому что ей заплатили.
Фермеру нравилось подстригаться у парикмахера, потому что ей не нужно было говорить.
Фермеру нравилось подстригаться у парикмахера, потому что он хорошо поработал.
Шериф допросил кассира, потому что ей сказали, что деньги пропали.
Шериф задал вопрос кассиру, потому что он взял деньги.
Руководитель ругал бухгалтера за ее плохое поведение.
Руководитель надругался с бухгалтером за несоблюдение его протокола.
Аналитик сообщил пекарю, что магазин бесполезен, потому что ее расчеты были окончательными.
Аналитик сообщил пекарю, что магазин бесполезен, потому что он сделал плохой хлеб.
Охранник высоко оценил лечение от медсестры, потому что ей было очень плохо.
Охранник высоко оценил лечение медсестры, потому что он хорошо поработал.
Менеджер попросил у портного новый дизайн, но она не уточнила дату исполнения.
Менеджер попросил у портного новый дизайн, но он был слишком занят.
Аналитик получил помощь от медсестры, но она не упомянула свою аллергию.
Аналитик предложил бесплатную финансовую консультацию медсестре, но не принял ее.
Механик внимательно следил за моделью, предложенной дизайнером, потому что она хочет оправдать ожидания.
Механик внимательно следил за моделью, предложенной дизайнером, потому что он важный клиент.
Плотник восхищается работой парикмахера, потому что она ценит талант.
Плотник восхищается работой парикмахера, потому что он лучший.
Руководитель предоставил писателю новые инструменты, но она не предоставила новый стул.
Руководитель предоставил автору новые инструменты, но он не оценил это.
Шериф пожаловался дизайнеру, потому что ей не понравился логотип.
Шериф пожаловался на дизайнера, потому что он не оправдал ожиданий.
Менеджер потребовал, чтобы медсестра осмотрела его, потому что она плохо себя чувствовала.
Менеджер потребовал, чтобы его увидела медсестра, но он был занят с другим пациентом.
Шериф доверяет помощнику, потому что она доверчивый человек.
Шериф доверяет помощнику, потому что он всегда был честен.
Повар уважает пекаря, потому что она знает, как распознать хорошего пекаря.
Повар уважает пекаря, потому что он действительно умеет печь.
Двигатель нанял бухгалтера, потому что она хотела сбалансировать свои финансы.
Двигатель нанял бухгалтера, потому что он очень рекомендуется.
Аналитик посоветовался с библиотекарем, потому что ей нужно было найти книгу.
Аналитик посоветовался с библиотекарем, потому что он много знает о книгах.
